iter 1060: loss 3.0611, time 344.20ms, mfu 1.18%
iter 1070: loss 2.9573, time 342.61ms, mfu 1.18%
iter 1080: loss 3.1298, time 341.50ms, mfu 1.19%
iter 1090: loss 3.0415, time 341.64ms, mfu 1.19%
iter 1100: loss 2.9408, time 341.34ms, mfu 1.19%
iter 1110: loss 3.0002, time 342.37ms, mfu 1.19%
iter 1120: loss 3.0039, time 342.87ms, mfu 1.19%
iter 1130: loss 3.1242, time 342.63ms, mfu 1.19%
iter 1140: loss 2.9916, time 341.47ms, mfu 1.19%
iter 1150: loss 3.0818, time 341.38ms, mfu 1.19%
iter 1160: loss 3.1376, time 343.06ms, mfu 1.19%
iter 1170: loss 3.0874, time 344.18ms, mfu 1.18%
iter 1180: loss 3.1850, time 342.61ms, mfu 1.18%
iter 1190: loss 2.9912, time 341.42ms, mfu 1.18%
iter 1200: loss 2.8514, time 341.49ms, mfu 1.19%
iter 1210: loss 2.9142, time 341.53ms, mfu 1.19%
iter 1220: loss 2.8830, time 342.13ms, mfu 1.19%
iter 1230: loss 2.9777, time 342.67ms, mfu 1.19%
iter 1240: loss 3.0156, time 343.04ms, mfu 1.18%
iter 1250: loss 2.8659, time 341.44ms, mfu 1.19%
iter 1260: loss 3.0771, time 341.71ms, mfu 1.19%
iter 1270: loss 3.0784, time 342.31ms, mfu 1.19%
iter 1280: loss 2.8454, time 342.58ms, mfu 1.19%
iter 1290: loss 2.9881, time 342.61ms, mfu 1.19%
iter 1300: loss 2.9563, time 341.41ms, mfu 1.19%
iter 1310: loss 3.0102, time 341.36ms, mfu 1.19%
iter 1320: loss 3.0270, time 341.35ms, mfu 1.19%
iter 1330: loss 2.7820, time 341.86ms, mfu 1.19%
iter 1340: loss 2.9004, time 343.00ms, mfu 1.19%
iter 1350: loss 3.0267, time 353.29ms, mfu 1.18%
iter 1360: loss 3.1302, time 341.35ms, mfu 1.18%
iter 1370: loss 3.0776, time 341.34ms, mfu 1.18%
iter 1380: loss 2.8352, time 342.23ms, mfu 1.18%
iter 1390: loss 3.1694, time 342.71ms, mfu 1.18%
iter 1400: loss 2.8799, time 342.48ms, mfu 1.18%
iter 1410: loss 2.8759, time 341.31ms, mfu 1.18%
iter 1420: loss 2.9531, time 341.49ms, mfu 1.18%
iter 1430: loss 2.8206, time 341.15ms, mfu 1.18%
iter 1440: loss 3.1701, time 342.01ms, mfu 1.18%
iter 1450: loss 3.0196, time 343.08ms, mfu 1.18%
iter 1460: loss 2.8902, time 341.09ms, mfu 1.19%
iter 1470: loss 3.0850, time 341.59ms, mfu 1.19%
iter 1480: loss 3.0056, time 341.25ms, mfu 1.19%
iter 1490: loss 2.8278, time 342.33ms, mfu 1.19%
iter 1500: loss 2.8521, time 342.97ms, mfu 1.19%
iter 1510: loss 3.0634, time 342.60ms, mfu 1.19%
iter 1520: loss 2.9318, time 341.38ms, mfu 1.19%
iter 1530: loss 2.9052, time 341.14ms, mfu 1.19%
iter 1540: loss 3.1231, time 342.01ms, mfu 1.19%
iter 1550: loss 3.0806, time 341.96ms, mfu 1.19%
iter 1560: loss 2.8635, time 342.87ms, mfu 1.19%
iter 1570: loss 3.0116, time 341.45ms, mfu 1.19%
iter 1580: loss 2.7719, time 341.30ms, mfu 1.19%
iter 1590: loss 2.8681, time 341.51ms, mfu 1.19%
iter 1600: loss 2.8125, time 341.85ms, mfu 1.19%
iter 1610: loss 2.8159, time 342.76ms, mfu 1.19%
iter 1620: loss 2.8558, time 343.22ms, mfu 1.19%
iter 1630: loss 2.9029, time 341.26ms, mfu 1.19%
iter 1640: loss 2.9602, time 341.27ms, mfu 1.19%
iter 1650: loss 3.0014, time 341.36ms, mfu 1.19%
iter 1660: loss 3.0600, time 342.04ms, mfu 1.19%
iter 1670: loss 2.8557, time 342.87ms, mfu 1.19%
iter 1680: loss 2.8922, time 341.48ms, mfu 1.19%
iter 1690: loss 2.9394, time 341.40ms, mfu 1.19%
iter 1700: loss 2.9047, time 341.27ms, mfu 1.19%
iter 1710: loss 3.1393, time 341.87ms, mfu 1.19%
iter 1720: loss 2.8546, time 343.00ms, mfu 1.19%
iter 1730: loss 2.7645, time 342.72ms, mfu 1.19%
iter 1740: loss 2.8350, time 341.17ms, mfu 1.19%
iter 1750: loss 2.7669, time 341.31ms, mfu 1.19%
iter 1760: loss 2.8970, time 341.08ms, mfu 1.19%
iter 1770: loss 2.9369, time 341.91ms, mfu 1.19%
iter 1780: loss 2.7768, time 342.85ms, mfu 1.19%
iter 1790: loss 2.8369, time 341.40ms, mfu 1.19%
iter 1800: loss 2.8384, time 341.36ms, mfu 1.19%
iter 1810: loss 2.8707, time 341.20ms, mfu 1.19%
iter 1820: loss 2.7835, time 342.50ms, mfu 1.19%
iter 1830: loss 2.8615, time 342.68ms, mfu 1.19%
iter 1840: loss 2.9300, time 342.69ms, mfu 1.19%
iter 1850: loss 2.7495, time 341.41ms, mfu 1.19%
iter 1860: loss 2.9558, time 341.38ms, mfu 1.19%
iter 1870: loss 2.9952, time 341.50ms, mfu 1.19%
iter 1880: loss 2.8011, time 342.04ms, mfu 1.19%
iter 1890: loss 2.9279, time 344.45ms, mfu 1.19%
iter 1900: loss 2.7623, time 341.71ms, mfu 1.19%
iter 1910: loss 3.0727, time 341.45ms, mfu 1.19%
iter 1920: loss 2.8964, time 341.37ms, mfu 1.19%
iter 1930: loss 2.8074, time 342.33ms, mfu 1.19%
iter 1940: loss 2.9930, time 342.55ms, mfu 1.19%
iter 1950: loss 2.8889, time 343.02ms, mfu 1.19%
iter 1960: loss 2.7209, time 341.31ms, mfu 1.19%
iter 1970: loss 2.8341, time 341.25ms, mfu 1.19%
iter 1980: loss 2.7966, time 341.21ms, mfu 1.19%
iter 1990: loss 2.9437, time 343.06ms, mfu 1.19%
iter 2000: loss 3.0108, time 734.79ms, mfu 1.12%
